model,quant,mode,ctx,prompt_tok,gen_tok,ours_tg_tps,oracle_tg_tps,ratio,ours_pp_tps,oracle_pp_tps,prefill_us,decode_us,first_token_us,total_us
qwen2.5-0.5b-instruct,q4_0,graph,32,16,35,300.048,253.656,1.183,416.1,2885.215,38450.0,116648.0,41628.0,155127.0
qwen2.5-0.5b-instruct,q4_0,eager,32,16,35,287.687,218.898,1.314,414.7,2772.782,38581.0,121660.0,42007.0,160536.0
qwen2.5-0.5b-instruct,q4_0,graph,512,517,32,277.308,243.998,1.137,1475.0,10263.063,350505.0,115395.0,354745.0,465903.0
qwen2.5-0.5b-instruct,q4_0,eager,512,517,32,262.963,249.606,1.054,1473.5,10736.808,350864.0,121690.0,354729.0,472893.0
qwen2.5-0.5b-instruct,q4_0,graph,2048,2117,35,191.931,227.106,0.845,893.2,11807.914,2370103.0,182357.0,2374286.0,2551352.0
qwen2.5-0.5b-instruct,q4_0,eager,2048,2117,35,180.879,176.946,1.022,887.4,11260.336,2385648.0,193499.0,2391151.0,2577752.0
smollm2-135m-instruct,q4_0,graph,32,63,22,445.182,370.972,1.2,2741.6,3346.296,22979.0,49418.0,26751.0,72979.0
smollm2-135m-instruct,q4_0,eager,32,63,22,471.627,441.52,1.068,2852.8,3687.463,22083.0,46647.0,24466.0,68640.0
qwen3-0.6b,q8_0,graph,32,16,64,169.494,155.427,1.091,212.4,1005.467,75347.0,377595.0,80142.0,452105.0
qwen3-0.6b,q8_0,eager,32,16,64,163.836,180.877,0.906,215.6,1321.55,74204.0,390635.0,80089.0,464867.0
llama-3.2-1b,q4_0,graph,32,19,52,161.194,168.602,0.956,233.5,2021.627,81385.0,322592.0,84515.0,403770.0
llama-3.2-1b,q4_0,eager,32,19,52,159.521,174.117,0.916,235.8,2413.967,80568.0,325976.0,86724.0,406784.0
gemma-4-E2B-it,q4_0,graph,32,16,16,71.381,80.913,0.882,89.0,379.338,179723.0,224148.0,193415.0,403871.0
gemma-4-E2B-it,q4_0,eager,32,16,16,71.34,86.323,0.826,88.8,392.438,180245.0,224279.0,194000.0,404523.0
llama-3.2-1b,q4_0,graph,2048,2120,53,139.463,164.429,0.848,488.6,7302.726,4339355.0,380029.0,4342320.0,4719384.0
llama-3.2-1b,q4_0,eager,2048,2120,53,134.59,160.696,0.838,486.1,7272.037,4360949.0,393789.0,4368042.0,4754539.0
qwen3-0.6b,q8_0,graph,2048,2117,64,128.84,138.592,0.93,577.3,9003.224,3667265.0,496739.0,3671251.0,4163190.0
qwen3-0.6b,q8_0,eager,2048,2117,64,122.528,133.99,0.914,577.0,8888.572,3668781.0,522331.0,3677073.0,4192542.0
smollm2-135m-instruct,q4_0,graph,2048,2165,64,301.548,421.749,0.715,1895.6,19635.022,1142135.0,212238.0,1145001.0,1354492.0
smollm2-135m-instruct,q4_0,eager,2048,2165,64,285.196,426.643,0.668,1892.3,19839.172,1144100.0,224407.0,1147741.0,1368366.0
smollm2-135m-instruct,q4_0,graph,512,565,64,493.618,487.311,1.013,2919.8,16670.791,193508.0,129655.0,197657.0,399430.0
smollm2-135m-instruct,q4_0,eager,512,565,64,460.524,492.9,0.934,3228.8,17292.268,174986.0,138972.0,177538.0,314138.0
qwen3-0.6b,q8_0,graph,512,517,64,169.842,156.797,1.083,808.9,8341.939,639172.0,376821.0,643227.0,1017275.0
qwen3-0.6b,q8_0,eager,512,517,64,130.202,169.893,0.766,760.9,8631.34,679467.0,491543.0,686616.0,1295593.0
llama-3.2-1b,q4_0,graph,512,520,48,155.099,156.633,0.99,618.8,6665.85,840298.0,309480.0,843633.0,1145198.0
llama-3.2-1b,q4_0,eager,512,520,48,151.329,145.007,1.044,618.8,6320.363,840357.0,317189.0,846743.0,1157546.0
